UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Solution type,Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ADC2 (v),ADC1 (v),Revs (RPM),Combo_G ((null))
191555.680,16,5.29,323.7,24°52.908294 N,46°39.563622 E,0,1,0,0,689.78,0.00,2,11186.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.040,0,0,0,0.0558320805430412
191555.720,16,5.40,324.5,24°52.908324 N,46°39.563604 E,0,1,0,0,689.77,0.00,2,11219.000,1,0.040,0.06,-0.05,0.08,0.00,0,0.00,0.040,0,0,0,0.0672358572483063
191555.760,16,5.41,325.7,24°52.908348 N,46°39.563586 E,0,1,0,0,689.78,0.00,2,11286.000,1,0.080,0.12,-0.08,0.01,0.00,0,0.00,0.040,0,0,0,0.0419004112482071
191555.800,16,5.52,327.1,24°52.908378 N,46°39.563568 E,0,1,0,0,689.77,0.00,2,11319.000,1,0.120,0.18,-0.09,0.08,0.00,0,0.00,0.040,0,0,0,0.0663586407899857
191555.840,16,5.49,327.3,24°52.908408 N,46°39.563550 E,0,1,0,0,689.76,-0.04,2,11353.000,1,0.160,0.24,-0.02,-0.02,0.00,-0.655260283946123,0.00,0.040,0,0,0,0.0363355092704296
191555.880,16,5.50,326.4,24°52.908432 N,46°39.563526 E,0,1,0,0,689.76,0.00,2,11386.000,1,0.200,0.30,0.06,0.00,0.00,0,0.00,0.040,0,0,0,0.0162397008389235
191555.920,16,5.66,324.8,24°52.908462 N,46°39.563502 E,0,1,0,0,689.75,0.00,2,11419.000,1,0.240,0.36,0.11,0.11,0.00,0,0.00,0.040,0,0,0,0.0629172101616859
191555.960,16,5.85,324.7,24°52.908492 N,46°39.563484 E,0,1,0,0,689.74,-0.04,2,11486.000,1,0.280,0.43,0.01,0.13,0.00,-0.615805679096818,0.00,0.040,0,0,0,0.0990564525127411
191556.000,16,6.04,324.8,24°52.908522 N,46°39.563460 E,0,1,0,0,689.74,-0.04,2,11519.000,1,0.320,0.49,-0.01,0.14,0.00,-0.595927826518788,9.16,0.040,0,0,0,0.118307203054428
191556.040,16,6.13,325.0,24°52.908552 N,46°39.563436 E,0,1,0,0,689.73,-0.04,2,11553.000,1,0.360,0.56,-0.02,0.06,0.00,-0.587563244654807,10.06,0.040,0,0,0,0.0896357670426369
191556.080,16,6.22,325.5,24°52.908582 N,46°39.563418 E,0,1,0,0,689.72,-0.04,2,11586.000,1,0.400,0.63,-0.04,0.06,0.00,-0.579057423194467,10.73,0.040,0,0,0,0.0768375396728516
191556.120,16,6.31,326.2,24°52.908618 N,46°39.563394 E,0,1,0,0,689.71,-0.04,2,11619.000,1,0.440,0.70,-0.06,0.07,0.00,-0.570432578038346,10.93,0.040,0,0,0,0.0731457769870758
