tag,mean_old,mean_new,frac_new_1,frac_new_0
D1_S1,0.5881438721136767,0.26376554174067496,0.04298401420959148,0.5154529307282416
D1_S2,0.9094197074425333,0.06847773669828001,0.0,0.86304452660344
D1_S3,0.5637739345274861,0.3274140415894585,0.0012353304508956147,0.3464072472719786
D1_S4,0.5000993443274389,0.3559507252135903,0.005761970991456387,0.2938605205642758
D10_S1,0.6636301241654707,0.312316715542522,0.00592749734822487,0.3812940662631809
D10_S2,0.6849589214240573,0.3549610280176954,0.0010532968190436064,0.2911312407836528
D10_S4,0.5712491026561378,0.4054199569274946,0.004845656855707107,0.19400574300071788
D11_S1,0.5388032842199978,0.4201439658081206,0.24417950736700034,0.4038915757507592
D11_S2,0.33419857235561323,0.6935972312351287,0.509193164611724,0.12199870214146658
D11_S3,0.18804384676234603,0.2382755113572155,0.09560402305345236,0.6190530003390213
D11_S4,0.378972823583602,0.6957623215108245,0.5043758636573008,0.11285122063565177
D12_S1,0.2125384002730686,0.8949254750256002,0.7971327796108773,0.007281829559676869
D12_S2,0.037682481751824815,0.9873175182481752,0.9753649635036497,0.00072992700729927
D12_S3,0.14091443028824432,0.888723231227975,0.844040842143309,0.06659437968735882
D12_S4,0.07447856790934472,0.9303662341928067,0.8840532107078338,0.023320742322220398
D13_S1,0.20269425734324006,0.7771335323935837,0.6174571210332616,0.06319005624609401
D13_S2,0.4482924946941926,0.4935365618367741,0.12714644028554892,0.14007331661200076
D13_S3,0.40023682652457077,0.38451417669890137,0.11341359121110453,0.34438523781330177
D13_S4,0.35551724137931034,0.5280172413793104,0.22137931034482758,0.1653448275862069
D14_S1,0.2133816304438338,0.43800482971105004,0.2592222499791823,0.3832125905570822
D14_S2,0.08641653639048115,0.5486364425916276,0.3710265763418447,0.27375369115858955
D14_S3,0.03312384092314032,0.6636616525860293,0.5313208324747579,0.20399752730269935
D14_S4,0.14642351274787535,0.5843661473087819,0.3502124645892351,0.18148016997167138
D15_S1,0.6056187521544295,0.46449500172354363,0.06694243364357118,0.13795243019648398
D15_S2,0.5017589335308277,0.5291612664321422,0.06091464543603037,0.0025921125717459728
D15_S3,0.5286186499652052,0.5035229645093946,0.05271398747390397,0.045668058455114825
D15_S4,0.5172099950355784,0.5119973523084561,0.036074797286116164,0.012080092669204038
D16_S2,0.33329706202393905,0.5362350380848748,0.3397170837867247,0.26724700761697495
